Sanidad,Factor,Clor
HLB+,0,1.457884
HLB+,0,1.3762915
HLB+,0,1.192199
HLB+,0,1.105816
HLB+,0,1.398904
HLB+,0,1.4467225
HLB+,0,1.3718195
HLB+,0,1.355801
HLB+,0,0.9768865
HLB+,0,1.0450605
HLB+,0,1.2354425
HLB+,0,1.2485725
HLB+,0,1.2710595
HLB+,0,1.3546495
HLB+,0,1.013951
HLB+,0,1.055613
HLB+,0,1.0280095
HLB+,0,1.0701615
HLB+,0,1.1427915
HLB+,0,1.1276565
HLB+,0,1.3788705
HLB+,1,1.4145345
HLB+,1,1.3341245
HLB+,1,1.317586
HLB+,1,1.2183475
HLB+,1,1.023457
HLB+,1,0.9934025
HLB+,1,1.116702
HLB+,1,1.1332855
HLB+,1,1.066159
HLB+,1,1.0505115
HLB+,1,1.2860465
HLB+,1,1.134556
HLB+,1,1.2375955
HLB+,1,1.075704
HLB+,1,1.1497265
HLB+,1,1.056351
HLB+,1,0.8453955
HLB+,1,0.8284335
HLB+,1,0.9546665
HLB+,1,0.9774655
HLB+,1,1.1953685
HLB+,1,1.033616
HLB+,2,1.079868
HLB+,2,1.116985
HLB+,2,1.431565
HLB+,2,1.3096025
HLB+,2,1.08667
HLB+,2,1.10577
HLB+,2,0.8453955
HLB+,2,0.8284335
HLB+,2,0.9546665
HLB+,2,0.9774655
HLB+,2,1.1953685
HLB+,2,1.033616
HLB+,2,1.5159925
HLB+,2,1.40339
HLB+,2,1.2001525
HLB+,2,1.2793175
