Macros,Micros,Repetición,Fold,SD
Ma-1,Mi-1,gDNA pool 1,1,0.376
Ma-1,Mi-1,gDNA pool 2,1,0.359
Ma-1,Mi-2,gDNA pool 1,0.717,0.373
Ma-1,Mi-2,gDNA pool 2,0.472,0.341
Ma-1,Mi-3,gDNA pool 1,0.16,0.186
Ma-1,Mi-3,gDNA pool 2,0.263,0.282
Ma-2,Mi-1,gDNA pool 1,0.824,0.403
Ma-2,Mi-1,gDNA pool 2,0.634,0.353
Ma-2,Mi-2,gDNA pool 1,0.39,0.375
Ma-2,Mi-2,gDNA pool 2,0.471,0.384
Ma-2,Mi-3,gDNA pool 1,0.663,0.341
Ma-2,Mi-3,gDNA pool 2,0.407,0.19
Ma-3,Mi-1,gDNA pool 1,1.774,0.318
Ma-3,Mi-1,gDNA pool 2,1.558,0.436
Ma-3,Mi-2,gDNA pool 1,1.361,0.354
Ma-3,Mi-2,gDNA pool 2,1.129,0.575
Ma-3,Mi-3,gDNA pool 1,0.984,0.467
Ma-3,Mi-3,gDNA pool 2,1.112,0.333
