Sanidad,Factor,SA
HLB+,0,781.4526061
HLB+,0,468.6925928
HLB+,0,449.8704273
HLB+,0,902.9850737
HLB+,0,763.5274407
HLB+,0,930.880931
HLB+,0,547.720045
HLB+,0,470.78341
HLB+,0,433.5005388
HLB+,0,577.3290286
HLB+,0,676.1793239
HLB+,0,475.8189782
HLB+,0,536.8077965
HLB+,0,638.3122855
HLB+,0,1147.632921
HLB+,0,727.5752072
HLB+,0,1147.860763
HLB+,0,1257.168569
HLB+,0,801.1447485
HLB+,0,848.5636112
HLB+,0,730.1592727
HLB+,0,1265.426122
HLB+,0,513.1845182
HLB+,0,1182.131121
HLB+,0,796.0313446
HLB+,0,745.027771
HLB+,0,969.4263489
HLB+,0,1368.891775
HLB+,0,548.5908772
HLB+,1,774.0131715
HLB+,1,418.5562571
HLB+,1,487.1850916
HLB+,1,586.3363231
HLB+,1,1029.547709
HLB+,1,1181.956069
HLB+,1,792.6368793
HLB+,1,992.6500585
HLB+,1,918.9462227
HLB+,1,733.7637405
HLB+,1,1022.385693
HLB+,1,899.2638598
HLB+,1,1148.011363
HLB+,1,999.1483498
HLB+,1,655.1728072
HLB+,1,468.1674231
HLB+,1,600.143639
HLB+,1,506.438899
HLB+,1,900.2945016
HLB+,1,924.3746531
HLB+,1,1081.811236
HLB+,1,697.7377228
HLB+,1,869.0014269
HLB+,1,588.3165674
HLB+,1,516.4824695
HLB+,1,831.2906307
HLB+,2,575.6039146
HLB+,2,647.8677466
HLB+,2,927.6157614
HLB+,2,582.1087483
HLB+,2,496.5835545
HLB+,2,672.0732327
HLB+,2,519.94487
HLB+,2,1291.313757
HLB+,2,704.9215551
HLB+,2,1052.60994
HLB+,2,716.396676
HLB+,2,898.4613957
HLB+,2,950.2154379
HLB+,2,627.9462235
HLB+,2,1352.177625
HLB+,2,608.0176314
HLB+,2,599.8551976
HLB+,2,964.6112822
HLB+,2,1187.511062
HLB+,2,790.9221589
HLB+,2,526.9564644
HLB+,2,662.8814311
HLB+,2,664.6891226
HLB+,2,716.1465945
HLB+,2,567.9595645
HLB+,2,729.375576
HLB+,2,606.2609693
HLB+,2,351.4288648
HLB+,2,457.6013677
HLB+,2,440.3195055
